"Story","Title","Result","Date","Stability","Duration (s)"
"Manage vaccination bookings","Approve a vaccination booking","FAILURE","2022-12-19T17:46:47.0883215+07:00[Asia/Bangkok]","0.0","25.56"
"Manage vaccination bookings","Approve all vaccination bookings","FAILURE","2022-12-19T17:47:13.1323472+07:00[Asia/Bangkok]","0.0","13.52"
"Manage vaccination bookings","Reject a vaccination booking","FAILURE","2022-12-19T17:47:26.9438717+07:00[Asia/Bangkok]","0.0","13.68"
"Manage vaccination bookings","Reject all vaccination bookings","FAILURE","2022-12-19T17:47:40.9375109+07:00[Asia/Bangkok]","0.0","13.69"
"Manage vaccination bookings","Sort vaccination bookings by available date","FAILURE","2022-12-19T17:47:54.8922345+07:00[Asia/Bangkok]","0.0","13.54"
"Manage vaccination bookings","Sort vaccination bookings by unavailable date","FAILURE","2022-12-19T17:48:08.7928192+07:00[Asia/Bangkok]","0.0","13.63"
"Manage vaccination bookings","Sort vaccination bookings by vaccine","FAILURE","2022-12-19T17:48:22.7241675+07:00[Asia/Bangkok]","0.0","13.75"
"Manage vaccination bookings","Sort vaccination bookings by status","FAILURE","2022-12-19T17:48:36.7537889+07:00[Asia/Bangkok]","0.0","13.42"
"Manage vaccination bookings","Sort vaccination bookings by time","SUCCESS","2022-12-19T17:48:50.4372601+07:00[Asia/Bangkok]","0.0","7.64"
"Manage vaccination bookings","Sort vaccination bookings by dose","SUCCESS","2022-12-19T17:48:58.3413131+07:00[Asia/Bangkok]","0.0","6.74"
